checkpoint (in update steps),relation_type,metric_name,metric
240000,place_of_death,P@ks_str,"{1: 0.0108, 5: 0.024700000000000003, 10: 0.037000000000000005}"
300000,place_of_birth,P@ks_str,"{1: 0.0632, 5: 0.19260000000000002, 10: 0.2596}"
300000,date_of_birth,P@ks_str,"{1: 0.0179, 5: 0.0978, 10: 0.16870000000000002}"
300000,place_of_death,P@ks_str,"{1: 0.0231, 5: 0.0478, 10: 0.0601}"
6400,place_of_birth,P@ks_str,"{1: 0.0, 5: 0.0008, 10: 0.0017000000000000001}"
6400,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
6400,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0015, 10: 0.0046}"
1000000,place_of_birth,P@ks_str,"{1: 0.1094, 5: 0.2151, 10: 0.24960000000000002}"
1000000,date_of_birth,P@ks_str,"{1: 0.0141, 5: 0.0684, 10: 0.1585}"
1000000,place_of_death,P@ks_str,"{1: 0.0154, 5: 0.037000000000000005, 10: 0.0493}"
260000,place_of_birth,P@ks_str,"{1: 0.053200000000000004, 5: 0.1697, 10: 0.20629999999999998}"
260000,date_of_birth,P@ks_str,"{1: 0.0166, 5: 0.0863, 10: 0.1623}"
260000,place_of_death,P@ks_str,"{1: 0.0108, 5: 0.0231, 10: 0.032400000000000005}"
320000,place_of_birth,P@ks_str,"{1: 0.0366, 5: 0.08900000000000001, 10: 0.1148}"
320000,date_of_birth,P@ks_str,"{1: 0.016, 5: 0.08560000000000001, 10: 0.1527}"
320000,place_of_death,P@ks_str,"{1: 0.0046, 5: 0.0062, 10: 0.0123}"
360000,place_of_birth,P@ks_str,"{1: 0.0458, 5: 0.11019999999999999, 10: 0.1364}"
360000,date_of_birth,P@ks_str,"{1: 0.0166, 5: 0.0626, 10: 0.1157}"
360000,place_of_death,P@ks_str,"{1: 0.0169, 5: 0.029300000000000003, 10: 0.0416}"
220000,place_of_birth,P@ks_str,"{1: 0.049100000000000005, 5: 0.1048, 10: 0.13140000000000002}"
220000,date_of_birth,P@ks_str,"{1: 0.015300000000000001, 5: 0.0575, 10: 0.10289999999999999}"
220000,place_of_death,P@ks_str,"{1: 0.0015, 5: 0.0015, 10: 0.0031}"
400,place_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
400,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
400,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
340000,place_of_birth,P@ks_str,"{1: 0.056600000000000004, 5: 0.1681, 10: 0.21050000000000002}"
340000,date_of_birth,P@ks_str,"{1: 0.0179, 5: 0.0799, 10: 0.1559}"
340000,place_of_death,P@ks_str,"{1: 0.037000000000000005, 5: 0.0801, 10: 0.1002}"
200000,place_of_birth,P@ks_str,"{1: 0.07400000000000001, 5: 0.193, 10: 0.2554}"
200000,date_of_birth,P@ks_str,"{1: 0.018500000000000003, 5: 0.0665, 10: 0.1323}"
200000,place_of_death,P@ks_str,"{1: 0.0231, 5: 0.0416, 10: 0.0632}"
